,name,studio,yearReleased,rating
211,Kyuuketsuki Sugu Shinu 2, Madhouse, 2023,0.0
212,Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara, ENGI, 2021,0.0
213,Leadale no Daichi nite, Maho Film, 2022,6.89
214,Log Horizon: Entaku Houkai, Studio Deen, 2021,7.57
215,Love All Play," Nippon Animation, OLM", 2022,0.0
216,Love Live! Nijigasaki Gakuen School Idol Doukoukai, Sunrise, 2020,7.93
217,Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season, 2022, Spring 2022,0.0
218,Love Live! Superstar!!, Sunrise Beyond, 2021,0.0
219,Love Live! Superstar!! 2nd Season, Sunrise, 2022,0.0
220,Lupin III: Part 6, TMS Entertainment, 2021,0.0
221,Lycoris Recoil, A-1 Pictures, 2022,0.0
222,Machikado Mazoku: 2-choume, J.C.Staff, 2022,0.0
223,Made in Abyss: Retsujitsu no Ougonkyou, 2022, Summer 2022,0.0
224,Maesetsu!," AXsiZ, Studio Gokumi", 2020,5.38
225,Magatsu Wahrheit: Zuerst, Yokohama Animation Lab, 2020,6.34
226,Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV) 2nd Season, Shaft, 2021,7.74
227,Mahouka Koukou no Rettousei: Raihousha-hen, 8bit, 2020,7.76
228,Mahouka Koukou no Yuutousei, Connect, 2021,0.0
229,Mahoutsukai no Yome: Nishi no Shounen to Seiran no Kishi, Studio Kafka, 2021,7.82
230,Mahoutsukai Reimeiki, Tezuka Productions, 2022,0.0
231,Mairimashita! Iruma-kun 2nd Season, Bandai Namco Pictures, 2021,7.88
232,Mairimashita! Iruma-kun 3rd Season, Bandai Namco Pictures, 2022,0.0
233,Majo no Tabitabi, C2C, 2020,7.59
234,Major 2nd (TV) 2nd Season, OLM, 2020,7.69
235,Majutsushi Orphen Hagure Tabi: Kimluck-hen, Studio Deen, 2021,0.0
236,Mamahaha no Tsurego ga Motokano datta, Project No.9, 2022,0.0
237,Maou Gakuin no Futekigousha II, SILVER LINK., 2023,0.0
238,Maoujou de Oyasumi, Doga Kobo, 2020,7.61
239,Mario Kirby Meisaku Video, 18 min., TV,0.0
240,Mars Red, Signal.MD, 2021,0.0
241,Mashiro no Oto, Shin-Ei Animation, 2021,0.0
242,Mazica Party, OLM, 2021,0.0
243,Megami-ryou no Ryoubo-kun., asread., 2021,6.96
