,name,studio,yearReleased,rating
18,Aru Asa Dummy Head Mic ni Natteita Ore-kun no Jinsei," EKACHI EPILKA, Indivision",2022,0.0
235,Majutsushi Orphen Hagure Tabi: Kimluck-hen, Studio Deen,2021,0.0
127,Hetalia World★Stars, Studio Deen,2021,0.0
122,Hataraku Maou-sama!!, Studio 3Hz,2022,0.0
232,Mairimashita! Iruma-kun 3rd Season, Bandai Namco Pictures,2022,0.0
101,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu"," HORNETS, Studio Kai",2022,0.0
114,Gunjou no Fanfare, Lay-duce,2022,0.0
265,NieR:Automata Ver1.1a, A-1 Pictures,2023,0.0
113,Gundam Breaker: Battlogue, Sunrise,2021,0.0
109,Godzilla Singular Point," Bones, Orange",2021,0.0
263,Muv-Luv Alternative 2nd Season," FLAGSHIP LINE, Graphinica, Yumeta Company",2022,0.0
105,Gensou Sangokushi: Tengen Reishinki, GEEK TOYS,2022,0.0
103,Genjitsu Shugi Yuusha no Oukoku Saikenki, J.C.Staff,2021,0.0
262,Muv-Luv Alternative," FLAGSHIP LINE, Graphinica, Yumeta Company",2021,0.0
68,Deji Meets Girl, LIDENFILMS,2021,0.0
139,I★Chu: Halfway Through the Idol, Lay-duce,2021,0.0
64,Date A Live IV, GEEK TOYS,2022,0.0
104,Genjitsu Shugi Yuusha no Oukoku Saikenki 2nd Season, J.C.Staff,2022,0.0
2,2.43: Seiin Koukou Danshi Volley-bu, David Production,2021,0.0
26,Baraou no Souretsu, J.C.Staff,2022,0.0
9,Aharen-san wa Hakarenai, Felix Film,2022,0.0
126,Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto, Lay-duce,2022,0.0
10,Akebi-chan no Sailor-fuku, CloverWorks,2022,0.0
4,5-toubun no Hanayome ∬, Bibury Animation Studios,2021,0.0
120,Hanyou no Yashahime: Sengoku Otogizoushi – Ni no Shou, Sunrise,2021,0.0
5,86, A-1 Pictures,2021,0.0
110,Gokushufudou, J.C.Staff,2021,0.0
142,Idoly Pride, Lerche,2021,0.0
35,Black★★Rock Shooter: Dawn Fall," Bibury Animation CG, Bibury Animation Studios",2022,0.0
11,Akiba Maid Sensou, P.A. Works,2022,0.0
251,Mieruko-chan, Passione,2021,0.0
30,"Benriya Saitou-san, Isekai ni Iku", C2C,2023,0.0
6,86 2nd Season, A-1 Pictures,2021,0.0
137,Hyouken no Majutsushi ga Sekai wo Suberu, Cloud Hearts,2023,0.0
248,Meitantei Conan: Haibara Ai Monogatari ~Kurogane no Mystery Train~, TMS Entertainment,2023,0.0
241,Mashiro no Oto, Shin-Ei Animation,2021,0.0
40,Bocchi the Rock!, CloverWorks,2022,0.0
41,Boku no Hero Academia 5th Season, Bones,2021,0.0
62,D_Cide Traumerei the Animation, SANZIGEN,2021,0.0
128,Hige wo Soru. Soshite Joshikousei wo Hirou., Project No.9,2021,0.0
60,Cool Doji Danshi, Pierrot,2022,0.0
284,Ore dake Haireru Kakushi Dungeon, Okuruto Noboru,2021,0.0
51,Bungou Stray Dogs 4th Season, Bones,2023,0.0
56,Cardfight!! Vanguard: will+Dress Season 2," GIFTanimation, Kinema Citrus, Studio Jemi",2023,0.0
249,Meitantei Conan: Hannin no Hanzawa-san, TMS Entertainment,2022,0.0
58,Chainsaw Man, MAPPA,2022,0.0
53,Cardfight!! Vanguard: overDress, Kinema Citrus,2021,0.0
247,Meikyuu Black Company, SILVER LINK.,2021,0.0
55,Cardfight!! Vanguard: will+Dress," GIFTanimation, Kinema Citrus, Studio Jemi",2022,0.0
48,Build Divide: Code Black, LIDENFILMS,2021,0.0
39,BLUELOCK, 8bit,2022,0.0
49,Build Divide: Code White, LIDENFILMS,2022,0.0
43,Bokutachi no Remake, feel.,2021,0.0
46,Bucchigire!, Geno Studio,2022,0.0
36,Bleach: Sennen Kessen-hen, Pierrot,2022,0.0
236,Mamahaha no Tsurego ga Motokano datta, Project No.9,2022,0.0
